Canis familiaris,
Capra aegagrus hircus,
Sus scrofa domesticus,
Ovis aries,
Bos taurus,
Bos taurus indicus,
Felis catus,
Gallus gallus domesticus,
Cavia porcellus,
Equus africanus asinus,
Anas platyrhynchos domesticus,
Bubalus bubalis,
Apis mellifera,
Camelus dromedarius,
Equus ferus caballus,
Bombyx mandarina mori,
Columba livia domestica,
Anser anser domesticus,
Anser cygnoides domesticus,
Bos grunniens,
Camelus bactrianus,
Lama glama,
Vicugna pacos,
Numida meleagris,
Mustela putorius furo,
Cairina moschata domestica,
Streptopelia roseogrisea risoria,
Bos javanicus domesticus,
Bos frontalis,
Meleagris gallopavo domesticus,
Carassius auratus,
Oryctolagus cuniculus,
Cyprinus rubrofuscus,
Serinus canaria domestica,
Lonchura striata domestica,
Mus musculus domestica,
Betta splendens,
Rattus norvegicus domestica,
Neovison vison domesticus,
Atelerix albiventris domestica,